Product_ID,Product_Name,Category,Model_No,Capacity,Pressure,Unit_Cost,Unit_Price
PROD0035,Screw Pump,Pump,HPC122CF1.5,2.5,12,69447.23,98000
PROD0036,Screw Pump,Pump,HPC122CF2.2,2.5,12,76468.83,102000
PROD0037,Screw Pump,Pump,HPC122SF1.5,2.5,12,66675.15,105000
PROD0038,Screw Pump,Pump,HPC122SF2.2,2.5,12,75544.55,111000
PROD0039,Screw Pump,Pump,HPC122SF1.5,2.5,12,65078.75,115000
PROD0040,Screw Pump,Pump,HPC122SF2.2,2.5,12,67754.94,115000
PROD0041,Screw Pump,Pump,HPC151CF1.1,4,6,53760.67,95000
PROD0042,Screw Pump,Pump,HPC151CF1.5,4,6,70306.44,98000
PROD0043,Screw Pump,Pump,HPC151CF1.1,4,6,60392.87,98000
PROD0044,Screw Pump,Pump,HPC151CF1.5,4,6,75228.45,105000
PROD0045,Screw Pump,Pump,HPC151SF1.1,4,6,62179.88,110000
PROD0046,Screw Pump,Pump,HPC151SF1.5,4,6,86064.39,115000
PROD0047,Screw Pump,Pump,HPC151SF1.1,4,6,89060.63,120000
PROD0048,Screw Pump,Pump,HPC151SF1.5,4,6,69709.43,122200
PROD0049,Screw Pump,Pump,HPC152CF2.0,5,12,52769.08,95000
PROD0050,Screw Pump,Pump,HPC152CF3.0,5,12,55168.75,98000
PROD0051,Screw Pump,Pump,HPC152CF2.0,5,12,76499.33,102500
PROD0052,Screw Pump,Pump,HPC152CF3.0,5,12,63418.09,105000
PROD0053,Screw Pump,Pump,HPC152SF2.0,5,12,73019.11,108000
PROD0054,Screw Pump,Pump,HPC152SF3.0,5,12,74524.16,115000
PROD0055,Screw Pump,Pump,HPC152SF2.0,5,12,87956.5,120000
PROD0056,Screw Pump,Pump,HPC152SF3.0,5,12,82805.83,125000
PROD0057,Screw Pump,Pump,HPC153CF3.7,5,18,89795.52,135000
PROD0058,Screw Pump,Pump,HPC153CF5.5,5,18,112736.22,145000
PROD0059,Screw Pump,Pump,HPC153CF3.7,5,18,78911.52,135000
PROD0060,Screw Pump,Pump,HPC153CF5.5,5,18,111159.29,150000
PROD0061,Screw Pump,Pump,HPC153SF3.7,5,18,87094.88,155000
PROD0062,Screw Pump,Pump,HPC153SF5.5,5,18,112176.07,170000
PROD0063,Screw Pump,Pump,HPC153SF2.0,5,18,105539.98,140000
PROD0064,Screw Pump,Pump,HPC153SF3.0,5,18,105449.88,150000
PROD0065,Screw Pump,Pump,HPC181CF1.5,5,6,77835.93,110000
PROD0066,Screw Pump,Pump,HPC181CF2.2,5,6,69909.46,114500
PROD0067,Screw Pump,Pump,HPC181CF1.5,5,6,77552.66,120000
PROD0068,Screw Pump,Pump,HPC181CF2.2,5,6,76117.64,120000
PROD0069,Screw Pump,Pump,HPC181SF1.5,5,6,83741.49,125000
PROD0070,Screw Pump,Pump,HPC181SF2.2,5,6,82695.37,126000
PROD0071,Screw Pump,Pump,HPC181SF1.5,5,6,80023.89,128000
PROD0072,Screw Pump,Pump,HPC181SF2.2,5,6,77532.57,125000
PROD0073,Screw Pump,Pump,HPC241CF2.2,8,6,77785.11,128000
PROD0074,Screw Pump,Pump,HPC241CF3.7,8,6,83682.83,132000
PROD0075,Screw Pump,Pump,HPC241CF2.2,8,6,78905.68,135000
PROD0076,Screw Pump,Pump,HPC241CF3.7,8,6,101328.84,135000
PROD0077,Screw Pump,Pump,HPC241SF2.2,8,6,95011.27,138000
PROD0078,Screw Pump,Pump,HPC241SF3.7,8,6,81307.92,140000
PROD0079,Screw Pump,Pump,HPC241SF2.2,8,6,100761.45,142000
PROD0080,Screw Pump,Pump,HPC241SF3.7,8,6,108019.68,145000
PROD0081,Screw Pump,Pump,HPC272CF3.7,8,12,81625.48,135000
PROD0082,Screw Pump,Pump,HPC272CF5.5,8,12,80680.06,138000
PROD0083,Screw Pump,Pump,HPC272CF3.7,8,12,76173.51,138000
PROD0084,Screw Pump,Pump,HPC272CF5.5,8,12,78521.46,140000
PROD0085,Screw Pump,Pump,HPC272SF3.7,8,12,105171.08,145000
PROD0086,Screw Pump,Pump,HPC272SF5.5,8,12,115003.82,148000
PROD0087,Screw Pump,Pump,HPC272SF3.7,8,12,84048.37,150000
PROD0088,Screw Pump,Pump,HPC272SF5.5,8,12,112279.76,155500
PROD0089,Screw Pump,Pump,HPC273CF 5.5,8,18,79313.96,140000
PROD0090,Screw Pump,Pump,HPC273CF7.5,8,18,99497.63,145000
PROD0091,Screw Pump,Pump,HPC273CF 5.5,8,18,107136.8,148000
PROD0092,Screw Pump,Pump,HPC273CF7.5,8,18,94892.55,150000
PROD0093,Screw Pump,Pump,HPC273SF5.5,8,18,85639.82,155000
PROD0094,Screw Pump,Pump,HPC273SF7.5,8,18,108529.18,158000
PROD0095,Screw Pump,Pump,HPC273SF5.5,8,18,126033.77,162000
PROD0096,Screw Pump,Pump,HPC273SF7.5,8,18,100526.58,165000
PROD0097,Screw Pump,Pump,HPC281CF2.2,11,6,77165.79,130000
PROD0098,Screw Pump,Pump,HPC281CF3.7,11,6,76362.39,132000
PROD0099,Screw Pump,Pump,HPC281CF2.2,11,6,90812.98,134000
PROD0100,Screw Pump,Pump,HPC281CF3.7,11,6,92769.62,135000
PROD0101,Screw Pump,Pump,HPC281SF2.2,11,6,101046.68,138000
PROD0102,Screw Pump,Pump,HPC281SF3.7,11,6,103418.58,143000
PROD0103,Screw Pump,Pump,HPC281SF2.2,11,6,111782.11,148000
PROD0104,Screw Pump,Pump,HPC281SF3.7,11,6,113975.8,155000
PROD0105,Screw Pump,Pump,HPC331CF5.5,20,6,81927.64,135000
PROD0106,Screw Pump,Pump,HPC331CF7.5,20,6,94899.25,140000
PROD0107,Screw Pump,Pump,HPC331CF5.5,20,6,87813.47,142000
PROD0108,Screw Pump,Pump,HPC331CF7.5,20,6,90748.34,145000
PROD0109,Screw Pump,Pump,HPC331SF5.5,20,6,114652.08,150000
PROD0110,Screw Pump,Pump,HPC331SF7.5,20,6,109559.59,155000
PROD0111,Screw Pump,Pump,HPC331SF5.5,20,6,12386.49,16000
PROD0112,Screw Pump,Pump,HPC331SF7.5,20,6,109801.28,170000
PROD0113,Screw Pump,Pump,HPC391CF5.5,20,6,101041.6,150000
PROD0114,Screw Pump,Pump,HPC391CF7.5,20,6,102946.68,155500
PROD0115,Screw Pump,Pump,HPC391CF5.5,20,6,90798.81,158000
PROD0116,Screw Pump,Pump,HPC391CF7.5,20,6,97919.52,162000
PROD0117,Screw Pump,Pump,HPC391SF5.5,20,6,117487.36,175000
PROD0118,Screw Pump,Pump,HPC391SF7.5,20,6,101789.3,180000
PROD0119,Screw Pump,Pump,HPC391SF5.5,20,6,141383.71,185000
PROD0120,Screw Pump,Pump,HPC391SF7.5,20,6,109911.97,190000
PROD0121,Screw Pump,Pump,HPC392CF7.5,20,12,95285.69,160000
PROD0122,Screw Pump,Pump,HPC392CF11.0,20,12,119793.94,165000
PROD0123,Screw Pump,Pump,HPC392CF7.5,20,12,97290.14,170000
PROD0124,Screw Pump,Pump,HPC392CF11.0,20,12,134757.39,178000
PROD0125,Screw Pump,Pump,HPC392SF7.5,20,12,139797.69,195000
PROD0126,Screw Pump,Pump,HPC392SF11.0,20,12,118814.39,210000
PROD0127,Screw Pump,Pump,HPC392SF7.5,20,12,159553.09,225000
PROD0128,Screw Pump,Pump,HPC392SF11.0,20,12,173818.64,250000
PROD0129,Screw Pump,Pump,HPC393CF11.0,20,18,170184.74,235000
PROD0130,Screw Pump,Pump,HPC393CF15.0,20,18,185121.38,250000
PROD0131,Screw Pump,Pump,HPC393CF11.0,20,18,200261.78,280000
PROD0132,Screw Pump,Pump,HPC393CF15.0,20,18,195173.86,285000
PROD0133,Screw Pump,Pump,HPC393SF11.0,20,18,184129.14,295000
PROD0134,Screw Pump,Pump,HPC393SF15.0,20,18,220215.61,310000
PROD0135,Screw Pump,Pump,HPC393SF11.0,20,18,269536.21,350000
PROD0136,Screw Pump,Pump,HPC393SF15.0,20,18,260349.4,380000
PROD0137,Screw Pump,Pump,HPC361CF7.5,30,6,115961.89,165000
PROD0138,Screw Pump,Pump,HPC361CF11.0,30,6,123602.5,190000
PROD0139,Screw Pump,Pump,HPC361CF7.5,30,6,152020.64,210000
PROD0140,Screw Pump,Pump,HPC361CF11.0,30,6,175379.29,225000
PROD0141,Screw Pump,Pump,HPC361SF7.5,30,6,137919.04,235000
PROD0142,Screw Pump,Pump,HPC361SF11.0,30,6,158086.6,265000
PROD0143,Screw Pump,Pump,HPC361SF7.5,30,6,192110.15,285000
PROD0144,Screw Pump,Pump,HPC361SF11.0,30,6,194911.32,295000
PROD0145,Screw Pump,Pump,HPC421CF11.0,40,6,115848.38,170000
PROD0146,Screw Pump,Pump,HPC421CF15.0,40,6,103838.1,185000
PROD0147,Screw Pump,Pump,HPC421CF11.0,40,6,125381.8,195000
PROD0148,Screw Pump,Pump,HPC421CF15.0,40,6,143657.85,210000
PROD0149,Screw Pump,Pump,HPC421SF11.0,40,6,154033.65,225000
PROD0150,Screw Pump,Pump,HPC421SF15.0,40,6,178802.64,255000
PROD0151,Screw Pump,Pump,HPC421SF11.0,40,6,189647.17,265000
PROD0152,Screw Pump,Pump,HPC421SF15.0,40,6,198803.42,285000
PROD0153,Screw Pump,Pump,HPC451CF11.0,35,6,142692.41,195000
PROD0154,Screw Pump,Pump,HPC451CF15.0,35,6,138738.99,200000
PROD0155,Screw Pump,Pump,HPC451CF11.0,35,6,148197.89,220000
PROD0156,Screw Pump,Pump,HPC451CF15.0,35,6,155120.67,225000
PROD0157,Screw Pump,Pump,HPC451SF11.0,35,6,143318.62,250000
PROD0158,Screw Pump,Pump,HPC451SF15.0,35,6,162398.89,265000
PROD0159,Screw Pump,Pump,HPC451SF11.0,35,6,191321.06,285000
PROD0160,Screw Pump,Pump,HPC451SF15.0,35,6,232743.99,310000
PROD0161,Screw Pump,Pump,HPC452CF15.0,35,12,137705.46,195000
PROD0162,Screw Pump,Pump,HPC452CF18.5,35,12,119866.71,210000
PROD0163,Screw Pump,Pump,HPC452CF15.0,35,12,154400.23,225000
PROD0164,Screw Pump,Pump,HPC452CF18.5,35,12,141234.94,235000
PROD0165,Screw Pump,Pump,HPC452SF15.0,35,12,183300.07,255000
PROD0166,Screw Pump,Pump,HPC452SF18.5,35,12,197663.14,267000
PROD0167,Screw Pump,Pump,HPC452SF15.0,35,12,202516.01,295000
PROD0168,Screw Pump,Pump,HPC452SF18.5,35,12,219524.29,320000
PROD0169,Screw Pump,Pump,HPC431CF15.0,50,6,138132.73,220000
PROD0170,Screw Pump,Pump,HPC431CF18.5,50,6,159896.19,245000
PROD0171,Screw Pump,Pump,HPC431CF15.0,50,6,190929.95,255000
PROD0172,Screw Pump,Pump,HPC431CF18.5,50,6,198432.74,277000
PROD0173,Screw Pump,Pump,HPC431SF15.0,50,6,200193.46,299000
PROD0174,Screw Pump,Pump,HPC431SF18.5,50,6,206275.37,325000
PROD0175,Screw Pump,Pump,HPC431SF15.0,50,6,244290.49,435000
PROD0176,Screw Pump,Pump,HPC431SF18.5,50,6,262301.27,450000
PROD0177,Gear Pump,Pump,HGD100ST,10,6,71327.5,120000
PROD0178,Centrifugal Pump,Pump, HMPM 50,50,10,73125.99,115000
PROD0179,Cast Gear Pump,Pump,HGS100CT,10,6,49864.95,65000
PROD0180,Industrial Pump 180,Industrial Pump,MODEL-180,20 m3/hr,10 bar,82052.89,142869
PROD0181,Progressive Cavity Pump 181,Progressive Cavity Pump,MODEL-181,10 m3/hr,3 bar,57857.03,90661
PROD0182,Industrial Pump 182,Industrial Pump,MODEL-182,50 m3/hr,10 bar,169877.96,295189
PROD0183,Industrial Pump 183,Industrial Pump,MODEL-183,20 m3/hr,10 bar,208403.12,324367
PROD0184,Industrial Pump 184,Industrial Pump,MODEL-184,5 m3/hr,10 bar,59871.54,79485
PROD0185,Industrial Pump 185,Industrial Pump,MODEL-185,20 m3/hr,10 bar,139101.46,232339
PROD0186,Spare Parts 186,Spare Parts,MODEL-186,50 m3/hr,8 bar,147896.85,265147
PROD0187,Screw Pump 187,Screw Pump,MODEL-187,20 m3/hr,10 bar,166768.16,225148
PROD0188,Industrial Pump 188,Industrial Pump,MODEL-188,10 m3/hr,10 bar,195368.66,254957
PROD0189,Progressive Cavity Pump 189,Progressive Cavity Pump,MODEL-189,50 m3/hr,3 bar,164491.95,235752
PROD0190,Spare Parts 190,Spare Parts,MODEL-190,10 m3/hr,8 bar,179004.55,309979
PROD0191,Screw Pump 191,Screw Pump,MODEL-191,5 m3/hr,8 bar,74339.25,100130
PROD0192,Progressive Cavity Pump 192,Progressive Cavity Pump,MODEL-192,5 m3/hr,3 bar,91731.42,135661
PROD0193,Progressive Cavity Pump 193,Progressive Cavity Pump,MODEL-193,5 m3/hr,5 bar,236669.95,348268
PROD0194,Progressive Cavity Pump 194,Progressive Cavity Pump,MODEL-194,10 m3/hr,10 bar,217094.4,285723
PROD0195,Spare Parts 195,Spare Parts,MODEL-195,5 m3/hr,10 bar,121569.21,160472
PROD0196,Industrial Pump 196,Industrial Pump,MODEL-196,50 m3/hr,5 bar,230211.37,332371
PROD0197,Spare Parts 197,Spare Parts,MODEL-197,20 m3/hr,8 bar,122669.12,221508
PROD0198,Spare Parts 198,Spare Parts,MODEL-198,50 m3/hr,10 bar,19570.82,26819
PROD0199,Spare Parts 199,Spare Parts,MODEL-199,10 m3/hr,5 bar,42037.39,63002
PROD0200,Progressive Cavity Pump 200,Progressive Cavity Pump,MODEL-200,20 m3/hr,3 bar,75969.15,120944
