Order_Detail_ID,Order_ID,Product_ID,Quantity,Unit_Price,Discount_Percent,Gross_Sales,Discount_Amount,Net_Sales
OD000093,ORD000057,PROD0182,2,295189,10,590378,59037.8,531340.2
OD000094,ORD000058,PROD0075,3,135000,0,405000,0,405000
OD000095,ORD000059,PROD0095,8,162000,0,1296000,0,1296000
OD000096,ORD000060,PROD0052,1,105000,5,105000,5250,99750
OD000097,ORD000061,PROD0142,7,265000,7,1855000,129850,1725150
OD000098,ORD000061,PROD0153,6,195000,0,1170000,0,1170000
OD000099,ORD000061,PROD0113,3,150000,2,450000,9000,441000
OD000100,ORD000062,PROD0163,3,225000,0,675000,0,675000
OD000101,ORD000062,PROD0055,4,120000,10,480000,48000,432000
OD000102,ORD000063,PROD0108,3,145000,7,435000,30450,404550
OD000103,ORD000063,PROD0146,4,185000,0,740000,0,740000
OD000104,ORD000064,PROD0180,5,142869,0,714345,0,714345
OD000105,ORD000065,PROD0066,7,114500,15,801500,120225,681275
OD000106,ORD000066,PROD0028,7,95000,2,665000,13300,651700
OD000107,ORD000066,PROD0157,4,250000,5,1000000,50000,950000
OD000108,ORD000067,PROD0102,3,143000,15,429000,64350,364650
OD000109,ORD000068,PROD0012,8,75000,15,600000,90000,510000
OD000110,ORD000069,PROD0166,8,267000,0,2136000,0,2136000
OD000111,ORD000070,PROD0100,7,135000,5,945000,47250,897750
OD000112,ORD000071,PROD0125,7,195000,15,1365000,204750,1160250
OD000113,ORD000071,PROD0072,3,125000,0,375000,0,375000
OD000114,ORD000071,PROD0198,7,26819,5,187733,9386.65,178346.35
OD000115,ORD000072,PROD0087,4,150000,7,600000,42000,558000
OD000116,ORD000073,PROD0120,6,190000,0,1140000,0,1140000
OD000117,ORD000074,PROD0108,6,145000,2,870000,17400,852600
OD000118,ORD000075,PROD0193,8,348268,0,2786144,0,2786144
OD000119,ORD000076,PROD0123,10,170000,0,1700000,0,1700000
OD000120,ORD000077,PROD0020,5,95000,0,475000,0,475000
OD000121,ORD000078,PROD0172,2,277000,2,554000,11080,542920
OD000122,ORD000079,PROD0009,1,75000,5,75000,3750,71250
OD000123,ORD000080,PROD0106,4,140000,15,560000,84000,476000
OD000124,ORD000080,PROD0072,5,125000,10,625000,62500,562500
OD000125,ORD000081,PROD0097,6,130000,10,780000,78000,702000
OD000126,ORD000082,PROD0169,4,220000,7,880000,61600,818400
OD000127,ORD000082,PROD0022,4,95000,0,380000,0,380000
OD000128,ORD000083,PROD0011,8,75000,2,600000,12000,588000
OD000129,ORD000084,PROD0181,3,90661,7,271983,19038.81,252944.19
OD000130,ORD000085,PROD0051,1,102500,15,102500,15375,87125
OD000131,ORD000085,PROD0089,5,140000,5,700000,35000,665000
OD000132,ORD000085,PROD0198,7,26819,7,187733,13141.31,174591.69
OD000133,ORD000086,PROD0146,2,185000,15,370000,55500,314500
OD000134,ORD000087,PROD0129,1,235000,5,235000,11750,223250
OD000135,ORD000088,PROD0002,7,50000,7,350000,24500,325500
OD000136,ORD000089,PROD0079,2,142000,15,284000,42600,241400
OD000137,ORD000090,PROD0104,9,155000,7,1395000,97650,1297350
OD000138,ORD000090,PROD0016,4,80000,0,320000,0,320000
OD000139,ORD000091,PROD0130,10,250000,15,2500000,375000,2125000
OD000140,ORD000091,PROD0152,1,285000,7,285000,19950,265050
OD000141,ORD000092,PROD0074,5,132000,0,660000,0,660000
OD000142,ORD000093,PROD0186,5,265147,15,1325735,198860.25,1126874.75
OD000143,ORD000094,PROD0187,3,225148,0,675444,0,675444
OD000144,ORD000095,PROD0149,4,225000,10,900000,90000,810000
OD000145,ORD000096,PROD0063,4,140000,10,560000,56000,504000
OD000146,ORD000096,PROD0024,1,98000,0,98000,0,98000
OD000147,ORD000097,PROD0140,3,225000,10,675000,67500,607500
OD000148,ORD000097,PROD0107,3,142000,0,426000,0,426000
OD000149,ORD000098,PROD0144,6,295000,15,1770000,265500,1504500
OD000150,ORD000099,PROD0081,3,135000,5,405000,20250,384750
OD000151,ORD000100,PROD0031,2,100000,5,200000,10000,190000
OD000152,ORD000100,PROD0181,7,90661,15,634627,95194.05,539432.95
OD000153,ORD000101,PROD0193,4,348268,0,1393072,0,1393072
OD000154,ORD000102,PROD0153,1,195000,5,195000,9750,185250
OD000155,ORD000102,PROD0005,2,60000,7,120000,8400,111600
OD000156,ORD000102,PROD0161,6,195000,0,1170000,0,1170000
OD000157,ORD000103,PROD0200,3,120944,0,362832,0,362832
OD000158,ORD000103,PROD0083,10,138000,5,1380000,69000,1311000
OD000159,ORD000104,PROD0101,7,138000,2,966000,19320,946680
OD000160,ORD000105,PROD0005,3,60000,5,180000,9000,171000
OD000161,ORD000105,PROD0121,10,160000,5,1600000,80000,1520000
OD000162,ORD000106,PROD0152,8,285000,2,2280000,45600,2234400
OD000163,ORD000107,PROD0041,7,95000,0,665000,0,665000
OD000164,ORD000108,PROD0127,1,225000,0,225000,0,225000
OD000165,ORD000108,PROD0053,3,108000,0,324000,0,324000
OD000166,ORD000108,PROD0029,7,100000,7,700000,49000,651000
OD000167,ORD000109,PROD0005,5,60000,0,300000,0,300000
OD000168,ORD000109,PROD0152,9,285000,15,2565000,384750,2180250
OD000169,ORD000110,PROD0043,7,98000,0,686000,0,686000
OD000170,ORD000111,PROD0030,1,100000,2,100000,2000,98000
OD000171,ORD000111,PROD0193,9,348268,7,3134412,219408.84,2915003.16
OD000172,ORD000112,PROD0148,10,210000,0,2100000,0,2100000
OD000173,ORD000113,PROD0052,8,105000,5,840000,42000,798000
OD000174,ORD000113,PROD0143,8,285000,0,2280000,0,2280000
OD000175,ORD000114,PROD0100,2,135000,15,270000,40500,229500
OD000176,ORD000114,PROD0002,8,50000,0,400000,0,400000
OD000177,ORD000114,PROD0055,7,120000,0,840000,0,840000
OD000178,ORD000115,PROD0155,2,220000,5,440000,22000,418000
OD000179,ORD000115,PROD0144,2,295000,2,590000,11800,578200
OD000180,ORD000116,PROD0082,6,138000,10,828000,82800,745200
OD000181,ORD000117,PROD0198,4,26819,10,107276,10727.6,96548.4
OD000182,ORD000118,PROD0102,6,143000,7,858000,60060,797940
OD000183,ORD000118,PROD0003,10,60000,0,600000,0,600000
OD000184,ORD000119,PROD0193,7,348268,5,2437876,121893.8,2315982.2
OD000185,ORD000120,PROD0005,9,60000,0,540000,0,540000
OD000186,ORD000120,PROD0184,1,79485,0,79485,0,79485
OD000187,ORD000120,PROD0016,3,80000,0,240000,0,240000
OD000188,ORD000121,PROD0077,9,138000,5,1242000,62100,1179900
OD000189,ORD000122,PROD0011,8,75000,5,600000,30000,570000
OD000190,ORD000123,PROD0142,4,265000,7,1060000,74200,985800
OD000191,ORD000124,PROD0062,4,170000,5,680000,34000,646000
OD000192,ORD000125,PROD0103,8,148000,0,1184000,0,1184000
OD000193,ORD000126,PROD0038,1,111000,0,111000,0,111000
OD000194,ORD000127,PROD0165,1,255000,5,255000,12750,242250
OD000195,ORD000127,PROD0093,9,155000,5,1395000,69750,1325250
OD000196,ORD000127,PROD0064,8,150000,0,1200000,0,1200000
OD000197,ORD000128,PROD0005,9,60000,5,540000,27000,513000
OD000198,ORD000129,PROD0095,5,162000,10,810000,81000,729000
OD000199,ORD000129,PROD0146,3,185000,0,555000,0,555000
OD000200,ORD000130,PROD0023,4,98000,7,392000,27440,364560
OD000201,ORD000131,PROD0102,8,143000,15,1144000,171600,972400
OD000202,ORD000131,PROD0186,3,265147,10,795441,79544.1,715896.9
OD000203,ORD000132,PROD0174,1,325000,0,325000,0,325000
OD000204,ORD000133,PROD0181,5,90661,0,453305,0,453305
OD000205,ORD000133,PROD0180,6,142869,7,857214,60004.98,797209.02
OD000206,ORD000134,PROD0056,5,125000,2,625000,12500,612500
OD000207,ORD000135,PROD0032,10,105000,0,1050000,0,1050000
OD000208,ORD000136,PROD0117,7,175000,2,1225000,24500,1200500
OD000209,ORD000137,PROD0144,8,295000,5,2360000,118000,2242000
OD000210,ORD000138,PROD0076,3,135000,0,405000,0,405000
OD000211,ORD000139,PROD0047,6,120000,0,720000,0,720000
OD000212,ORD000139,PROD0032,4,105000,7,420000,29400,390600
OD000213,ORD000140,PROD0102,4,143000,5,572000,28600,543400
OD000214,ORD000141,PROD0010,2,75000,0,150000,0,150000
OD000215,ORD000141,PROD0137,8,165000,15,1320000,198000,1122000
OD000216,ORD000142,PROD0165,5,255000,7,1275000,89250,1185750
OD000217,ORD000143,PROD0166,10,267000,2,2670000,53400,2616600
OD000218,ORD000143,PROD0058,6,145000,0,870000,0,870000
OD000219,ORD000144,PROD0020,2,95000,7,190000,13300,176700
OD000220,ORD000145,PROD0104,8,155000,7,1240000,86800,1153200
OD000221,ORD000145,PROD0149,1,225000,10,225000,22500,202500
OD000222,ORD000146,PROD0181,8,90661,0,725288,0,725288
OD000223,ORD000146,PROD0025,4,82000,5,328000,16400,311600
OD000224,ORD000146,PROD0004,1,60000,0,60000,0,60000
OD000225,ORD000147,PROD0029,6,100000,15,600000,90000,510000
OD000226,ORD000148,PROD0110,5,155000,0,775000,0,775000
OD000227,ORD000149,PROD0034,3,98000,5,294000,14700,279300
OD000228,ORD000149,PROD0192,2,135661,7,271322,18992.54,252329.46
OD000229,ORD000150,PROD0070,7,126000,7,882000,61740,820260
OD000230,ORD000151,PROD0162,5,210000,5,1050000,52500,997500
OD000231,ORD000152,PROD0066,4,114500,5,458000,22900,435100
OD000232,ORD000153,PROD0044,6,105000,10,630000,63000,567000
OD000233,ORD000154,PROD0018,10,94000,5,940000,47000,893000
OD000234,ORD000154,PROD0041,9,95000,5,855000,42750,812250
OD000235,ORD000155,PROD0151,3,265000,10,795000,79500,715500
OD000236,ORD000156,PROD0153,4,195000,2,780000,15600,764400
OD000237,ORD000157,PROD0134,9,310000,5,2790000,139500,2650500
OD000238,ORD000158,PROD0016,2,80000,2,160000,3200,156800
OD000239,ORD000159,PROD0065,10,110000,0,1100000,0,1100000
OD000240,ORD000159,PROD0120,5,190000,5,950000,47500,902500
OD000241,ORD000160,PROD0188,5,254957,2,1274785,25495.7,1249289.3
OD000242,ORD000160,PROD0047,10,120000,0,1200000,0,1200000
OD000243,ORD000161,PROD0038,2,111000,5,222000,11100,210900
OD000244,ORD000161,PROD0168,2,320000,5,640000,32000,608000
OD000245,ORD000162,PROD0094,9,158000,0,1422000,0,1422000
OD000246,ORD000163,PROD0076,8,135000,5,1080000,54000,1026000
OD000247,ORD000164,PROD0077,5,138000,2,690000,13800,676200
OD000248,ORD000165,PROD0083,2,138000,0,276000,0,276000
OD000249,ORD000165,PROD0097,6,130000,0,780000,0,780000
OD000250,ORD000166,PROD0159,8,285000,7,2280000,159600,2120400
OD000251,ORD000166,PROD0138,1,190000,5,190000,9500,180500
OD000252,ORD000167,PROD0018,3,94000,15,282000,42300,239700
OD000253,ORD000167,PROD0027,4,92000,5,368000,18400,349600
OD000254,ORD000168,PROD0121,3,160000,15,480000,72000,408000
OD000255,ORD000168,PROD0168,6,320000,0,1920000,0,1920000
OD000256,ORD000169,PROD0193,10,348268,5,3482680,174134,3308546
OD000257,ORD000170,PROD0179,7,65000,5,455000,22750,432250
OD000258,ORD000170,PROD0131,6,280000,5,1680000,84000,1596000
OD000259,ORD000170,PROD0048,10,122200,10,1222000,122200,1099800
OD000260,ORD000171,PROD0017,9,90000,5,810000,40500,769500
OD000261,ORD000171,PROD0148,6,210000,0,1260000,0,1260000
OD000262,ORD000171,PROD0182,1,295189,7,295189,20663.23,274525.77
OD000263,ORD000172,PROD0082,3,138000,0,414000,0,414000
OD000264,ORD000173,PROD0026,10,85000,0,850000,0,850000
OD000265,ORD000174,PROD0147,6,195000,5,1170000,58500,1111500
OD000266,ORD000174,PROD0074,10,132000,0,1320000,0,1320000
OD000267,ORD000175,PROD0128,1,250000,7,250000,17500,232500
OD000268,ORD000176,PROD0037,2,105000,2,210000,4200,205800
OD000269,ORD000177,PROD0072,2,125000,10,250000,25000,225000
OD000270,ORD000178,PROD0145,1,170000,2,170000,3400,166600
OD000271,ORD000178,PROD0172,4,277000,2,1108000,22160,1085840
OD000272,ORD000179,PROD0053,10,108000,2,1080000,21600,1058400
OD000273,ORD000179,PROD0160,1,310000,7,310000,21700,288300
OD000274,ORD000180,PROD0053,10,108000,0,1080000,0,1080000
OD000275,ORD000180,PROD0148,1,210000,2,210000,4200,205800
OD000276,ORD000181,PROD0083,1,138000,0,138000,0,138000
OD000277,ORD000181,PROD0141,1,235000,2,235000,4700,230300
OD000278,ORD000181,PROD0058,8,145000,10,1160000,116000,1044000
OD000279,ORD000182,PROD0017,2,90000,5,180000,9000,171000
OD000280,ORD000183,PROD0157,2,250000,5,500000,25000,475000
OD000281,ORD000183,PROD0002,9,50000,0,450000,0,450000
OD000282,ORD000184,PROD0106,7,140000,5,980000,49000,931000
OD000283,ORD000185,PROD0012,4,75000,7,300000,21000,279000
OD000284,ORD000186,PROD0112,8,170000,2,1360000,27200,1332800
OD000285,ORD000186,PROD0022,10,95000,10,950000,95000,855000
OD000286,ORD000186,PROD0033,6,98000,2,588000,11760,576240
OD000287,ORD000187,PROD0198,9,26819,0,241371,0,241371
OD000288,ORD000187,PROD0183,4,324367,10,1297468,129746.8,1167721.2
OD000289,ORD000188,PROD0090,9,145000,5,1305000,65250,1239750
OD000290,ORD000188,PROD0070,7,126000,5,882000,44100,837900
OD000291,ORD000189,PROD0140,3,225000,10,675000,67500,607500
OD000292,ORD000190,PROD0076,7,135000,10,945000,94500,850500
OD000293,ORD000191,PROD0031,4,100000,15,400000,60000,340000
OD000294,ORD000191,PROD0049,1,95000,5,95000,4750,90250
OD000295,ORD000192,PROD0124,5,178000,5,890000,44500,845500
OD000296,ORD000193,PROD0193,1,348268,5,348268,17413.4,330854.6
OD000297,ORD000194,PROD0131,5,280000,2,1400000,28000,1372000
OD000298,ORD000194,PROD0122,9,165000,0,1485000,0,1485000
OD000299,ORD000195,PROD0157,1,250000,10,250000,25000,225000
OD000300,ORD000196,PROD0013,7,80000,0,560000,0,560000
OD000301,ORD000197,PROD0125,3,195000,10,585000,58500,526500
OD000302,ORD000198,PROD0039,6,115000,0,690000,0,690000
OD000303,ORD000199,PROD0085,7,145000,0,1015000,0,1015000
OD000304,ORD000200,PROD0097,8,130000,0,1040000,0,1040000
OD000305,ORD000201,PROD0146,7,185000,2,1295000,25900,1269100
OD000306,ORD000202,PROD0038,3,111000,0,333000,0,333000
OD000307,ORD000203,PROD0191,4,100130,0,400520,0,400520
OD000308,ORD000204,PROD0122,6,165000,5,990000,49500,940500
OD000309,ORD000204,PROD0070,3,126000,2,378000,7560,370440
OD000310,ORD000205,PROD0062,9,170000,0,1530000,0,1530000
OD000311,ORD000206,PROD0021,6,95000,2,570000,11400,558600
OD000312,ORD000206,PROD0070,7,126000,0,882000,0,882000
OD000313,ORD000207,PROD0024,7,98000,10,686000,68600,617400
OD000314,ORD000207,PROD0158,4,265000,10,1060000,106000,954000
OD000315,ORD000208,PROD0159,8,285000,2,2280000,45600,2234400
OD000316,ORD000209,PROD0105,7,135000,0,945000,0,945000
OD000317,ORD000210,PROD0193,9,348268,0,3134412,0,3134412
OD000318,ORD000210,PROD0023,4,98000,7,392000,27440,364560
OD000319,ORD000210,PROD0176,6,450000,0,2700000,0,2700000
OD000320,ORD000211,PROD0075,9,135000,5,1215000,60750,1154250
OD000321,ORD000212,PROD0152,4,285000,0,1140000,0,1140000
OD000322,ORD000212,PROD0180,9,142869,7,1285821,90007.47,1195813.53
OD000323,ORD000213,PROD0026,4,85000,2,340000,6800,333200
OD000324,ORD000213,PROD0170,2,245000,0,490000,0,490000
OD000325,ORD000214,PROD0199,1,63002,0,63002,0,63002
OD000326,ORD000214,PROD0152,5,285000,5,1425000,71250,1353750
OD000327,ORD000215,PROD0030,5,100000,5,500000,25000,475000
OD000328,ORD000216,PROD0169,3,220000,5,660000,33000,627000
OD000329,ORD000217,PROD0056,9,125000,2,1125000,22500,1102500
OD000330,ORD000218,PROD0019,9,95000,5,855000,42750,812250
OD000331,ORD000218,PROD0129,7,235000,0,1645000,0,1645000
OD000332,ORD000219,PROD0025,8,82000,5,656000,32800,623200
OD000333,ORD000220,PROD0114,6,155500,7,933000,65310,867690
OD000334,ORD000220,PROD0004,7,60000,0,420000,0,420000
OD000335,ORD000220,PROD0149,3,225000,7,675000,47250,627750
OD000336,ORD000221,PROD0026,1,85000,10,85000,8500,76500
OD000337,ORD000221,PROD0135,6,350000,15,2100000,315000,1785000
OD000338,ORD000222,PROD0165,2,255000,0,510000,0,510000
OD000339,ORD000223,PROD0020,2,95000,10,190000,19000,171000
OD000340,ORD000224,PROD0008,6,70000,0,420000,0,420000
OD000341,ORD000224,PROD0176,4,450000,2,1800000,36000,1764000
OD000342,ORD000224,PROD0094,4,158000,5,632000,31600,600400
OD000343,ORD000225,PROD0102,6,143000,0,858000,0,858000
OD000344,ORD000226,PROD0050,9,98000,2,882000,17640,864360
OD000345,ORD000227,PROD0096,1,165000,10,165000,16500,148500
OD000346,ORD000228,PROD0167,3,295000,0,885000,0,885000
OD000347,ORD000229,PROD0169,4,220000,5,880000,44000,836000
OD000348,ORD000230,PROD0161,3,195000,10,585000,58500,526500
OD000349,ORD000230,PROD0058,1,145000,0,145000,0,145000
OD000350,ORD000231,PROD0154,3,200000,10,600000,60000,540000
OD000351,ORD000231,PROD0090,2,145000,15,290000,43500,246500
OD000352,ORD000232,PROD0076,9,135000,0,1215000,0,1215000
OD000353,ORD000233,PROD0066,4,114500,5,458000,22900,435100
OD000354,ORD000234,PROD0186,4,265147,0,1060588,0,1060588
OD000355,ORD000235,PROD0035,7,98000,15,686000,102900,583100
OD000356,ORD000235,PROD0180,6,142869,0,857214,0,857214
OD000357,ORD000236,PROD0183,3,324367,2,973101,19462.02,953638.98
OD000358,ORD000237,PROD0131,3,280000,5,840000,42000,798000
OD000359,ORD000237,PROD0006,1,65000,5,65000,3250,61750
OD000360,ORD000237,PROD0123,3,170000,5,510000,25500,484500
OD000361,ORD000238,PROD0024,4,98000,0,392000,0,392000
OD000362,ORD000238,PROD0068,5,120000,7,600000,42000,558000
OD000363,ORD000239,PROD0016,3,80000,7,240000,16800,223200
OD000364,ORD000239,PROD0148,9,210000,5,1890000,94500,1795500
OD000365,ORD000240,PROD0097,8,130000,7,1040000,72800,967200
OD000366,ORD000241,PROD0188,5,254957,0,1274785,0,1274785
OD000367,ORD000241,PROD0137,9,165000,0,1485000,0,1485000
OD000368,ORD000242,PROD0064,4,150000,0,600000,0,600000
OD000369,ORD000243,PROD0156,7,225000,2,1575000,31500,1543500
OD000370,ORD000243,PROD0058,8,145000,0,1160000,0,1160000
OD000371,ORD000244,PROD0054,7,115000,0,805000,0,805000
OD000372,ORD000244,PROD0053,4,108000,2,432000,8640,423360
OD000373,ORD000244,PROD0143,8,285000,5,2280000,114000,2166000
OD000374,ORD000245,PROD0197,2,221508,5,443016,22150.8,420865.2
OD000375,ORD000245,PROD0171,4,255000,10,1020000,102000,918000
OD000376,ORD000245,PROD0109,9,150000,2,1350000,27000,1323000
OD000377,ORD000246,PROD0003,7,60000,2,420000,8400,411600
OD000378,ORD000246,PROD0194,4,285723,0,1142892,0,1142892
OD000379,ORD000247,PROD0077,5,138000,7,690000,48300,641700
OD000380,ORD000247,PROD0124,5,178000,5,890000,44500,845500
OD000381,ORD000248,PROD0085,5,145000,0,725000,0,725000
OD000382,ORD000249,PROD0059,3,135000,0,405000,0,405000
OD000383,ORD000250,PROD0061,8,155000,0,1240000,0,1240000
OD000384,ORD000250,PROD0118,1,180000,2,180000,3600,176400
OD000385,ORD000251,PROD0086,8,148000,0,1184000,0,1184000
OD000386,ORD000251,PROD0032,6,105000,7,630000,44100,585900
OD000387,ORD000251,PROD0076,5,135000,2,675000,13500,661500
OD000388,ORD000252,PROD0090,8,145000,10,1160000,116000,1044000
OD000389,ORD000252,PROD0126,10,210000,0,2100000,0,2100000
OD000390,ORD000253,PROD0089,5,140000,2,700000,14000,686000
OD000391,ORD000253,PROD0040,6,115000,10,690000,69000,621000
OD000392,ORD000254,PROD0116,5,162000,0,810000,0,810000
OD000393,ORD000255,PROD0168,5,320000,10,1600000,160000,1440000
OD000394,ORD000255,PROD0078,4,140000,0,560000,0,560000
OD000395,ORD000256,PROD0127,6,225000,5,1350000,67500,1282500
OD000396,ORD000256,PROD0092,1,150000,10,150000,15000,135000
OD000397,ORD000257,PROD0060,8,150000,0,1200000,0,1200000
OD000398,ORD000258,PROD0176,1,450000,0,450000,0,450000
OD000399,ORD000259,PROD0193,10,348268,0,3482680,0,3482680
OD000400,ORD000259,PROD0037,4,105000,0,420000,0,420000
OD000401,ORD000260,PROD0125,7,195000,2,1365000,27300,1337700
OD000402,ORD000261,PROD0185,1,232339,7,232339,16263.73,216075.27
OD000403,ORD000261,PROD0108,4,145000,0,580000,0,580000
OD000404,ORD000262,PROD0108,10,145000,5,1450000,72500,1377500
OD000405,ORD000262,PROD0192,6,135661,7,813966,56977.62,756988.38
OD000406,ORD000262,PROD0126,5,210000,7,1050000,73500,976500
OD000407,ORD000263,PROD0170,4,245000,15,980000,147000,833000
OD000408,ORD000263,PROD0021,7,95000,10,665000,66500,598500
OD000409,ORD000264,PROD0118,7,180000,0,1260000,0,1260000
OD000410,ORD000265,PROD0030,6,100000,0,600000,0,600000
OD000411,ORD000266,PROD0041,10,95000,7,950000,66500,883500
OD000412,ORD000266,PROD0147,6,195000,0,1170000,0,1170000
OD000413,ORD000267,PROD0174,9,325000,0,2925000,0,2925000
